,Close,dates
1954,20.894135,2010-09-02
1955,21.351931,2010-09-03
1956,20.736767,2010-09-07
1957,20.629471,2010-09-08
1958,20.693848000000006,2010-09-09
1959,20.679543,2010-09-10
1960,20.83691,2010-09-13
1961,20.865522,2010-09-14
1962,21.037195,2010-09-15
1963,21.487841,2010-09-16
1964,21.852646,2010-09-17
1965,22.195993,2010-09-20
1966,22.281832,2010-09-21
1967,22.002861,2010-09-22
1968,21.8598,2010-09-23
1969,22.95422,2010-09-24
1970,22.889843,2010-09-27
1971,23.133047,2010-09-28
1972,23.304722,2010-09-29
1973,23.869814,2010-09-30
1974,24.127325,2010-10-01
1975,23.311874,2010-10-04
1976,23.633762,2010-10-05
1977,23.369099,2010-10-06
1978,23.748211,2010-10-07
1979,24.177397,2010-10-08
1980,24.14163,2010-10-11
1981,24.091558,2010-10-12
1982,24.542204,2010-10-13
1983,24.484978,2010-10-14
1984,24.663805,2010-10-15
1985,24.792561,2010-10-18
1986,24.334764,2010-10-19
1987,24.792561,2010-10-20
1988,24.856939,2010-10-21
1989,24.856939,2010-10-22
